author,role,avatar,content,time,date,source,link
Meeri Kim,Freelance Science Writer,https://ui-avatars.com/api/?name=MK&background=0D8ABC&color=fff,"Meeri Kim is now freelancing for Consumer Reports, and may be picking up new stories for The Washington Post. She is an excellent scientific writer covering breaking news, holding a PhD from the University of Pennsylvania and residing in California.",Recently,3/14/26,Industry News,
Emma Beavins,"Former Staff Writer, Fierce Healthcare",https://ui-avatars.com/api/?name=EB&background=e53e3e&color=fff,"Emma Beavins has retired from her role as staff writer at Fierce Healthcare, bowing out with a story examining the Coalition for Health AI (CHAI) & assurance labs.",Recently,2/28/26,Industry News,
Lauren Berryman,"Former Reporter, Modern Healthcare",https://ui-avatars.com/api/?name=LB&background=B22222&color=fff,Lauren Berryman officially left the field of journalism in 2025.,Older,6/15/25,Industry News,
Gabe Perna,"Former Managing Editor, Modern Healthcare",https://ui-avatars.com/api/?name=GP&background=333&color=fff,"Gabe Perna has announced he is retiring at the end of the month, concluding his tenure at Modern Healthcare.",Recently,3/5/26,Industry News,
Trisha Thadani,"Former Reporter, The Washington Post",https://ui-avatars.com/api/?name=TT&background=000&color=fff,Trisha Thadani was among the 300+ journalists impacted when The Washington Post laid off approximately one-third of its staff.,Recently,3/5/26,Industry News,
Brianna Abbott,"Former Cancer Reporter, Wall Street Journal",https://ui-avatars.com/api/?name=BA&background=8B0000&color=fff,Brianna Abbott is currently freelancing. There is no update on a new full-time role at this time.,Recently,3/14/26,Industry News,
Alex Janin,"Personal Health & Wellness Reporter, Wall Street Journal",https://ui-avatars.com/api/?name=AJ&background=f6ad55&color=fff,"According to her OOO memo, Alex Janin is due back from sabbatical this summer. She most recently covered personal health and wellness.",Recently,3/14/26,Personal News,
Future of Everything,WSJ Event & Editorial,https://ui-avatars.com/api/?name=WSJ&background=000&color=fff,"The Wall Street Journal has officially relaunched its ""Future of Everything"" hub, announcing massive programming updates and early speaker confirmations for the upcoming Future of Everything conference.",Recently,3/14/26,Publication,https://futureofeverything.wsj.com/event/the-future-of-everything/
Tina Reed,"Co-writer, Axios Vitals",https://ui-avatars.com/api/?name=TR&background=68d391&color=fff,Word is that Tina Reed will be returning from maternity leave this spring to resume her co-writing duties on the Axios Vitals newsletter.,Recently,3/14/26,Gossip,
Sarah Kliff,"Investigative Reporter, The New York Times",https://ui-avatars.com/api/?name=SK&background=000&color=fff,"Sarah Kliff is still very actively reporting! She continues to serve as an investigative reporter covering health policy for The New York Times, where she has recently been breaking down massive shifts reshaping American health, including updated food guidelines, developments in GLP-1 drugs, and AI integration in medicine.",Recently,3/7/26,Publication,
